pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
306.385		-85.0	1428.0	1	395.0	761.0	1	155	1094	5.0747	1	5.0234	1
306.582		-76.0	1423.0	1	395.0	758.0	1	160	1090	5.0734	1	5.0241	1
306.805		-83.0	1421.0	1	395.0	758.0	1	156	1089	5.0766	1	5.0254	1
306.923		-79.0	1421.0	1	399.0	758.0	1	160	1089	5.0775	1	5.0238	1
309.846		-82.0	1424.0	1	397.0	759.0	1	158	1091	5.0775	1	5.0237	1
310.025		-82.0	1426.0	1	395.0	760.0	1	156	1093	5.0765	1	5.0204	1
310.131		-82.0	1423.0	1	395.0	760.0	1	156	1091	5.0773	1	5.0216	1
310.232		-79.0	1424.0	1	401.0	759.0	1	161	1091	5.0789	1	5.0218	1
313.039		-76.0	1424.0	1	400.0	760.0	1	162	1092	5.0788	1	5.0221	1
313.75		-79.0	1427.0	1	399.0	758.0	1	160	1092	5.0799	1	5.0226	1
317.15		-81.0	1422.0	1	400.0	760.0	1	160	1091	5.0787	1	5.0241	1
325.354		-77.0	1424.0	1	401.0	760.0	1	162	1092	5.0766	1	5.0228	1
325.556		-79.0	1423.0	1	402.0	759.0	1	162	1091	5.0773	1	5.022	1
340.546		-80.0	1422.0	1	402.0	758.0	1	161	1090	5.0778	1	5.0227	1
340.815		-80.0	1424.0	1	403.0	759.0	1	162	1091	5.08	1	5.0227	1
340.983		-78.0	1423.0	1	404.0	762.0	1	163	1092	5.0776	1	5.0251	1
341.076		-79.0	1426.0	1	404.0	756.0	1	162	1091	5.0796	1	5.0244	1
341.176		-80.0	1425.0	1	405.0	759.0	1	162	1092	5.0788	1	5.0257	1
350.247		-74.0	1421.0	1	408.0	759.0	1	167	1090	5.0791	1	5.0214	1
350.398		-80.0	1425.0	1	404.0	760.0	1	162	1092	5.0784	1	5.0229	1
350.487		-79.0	1422.0	1	408.0	758.0	1	164	1090	5.0814	1	5.0233	1
355.222		-74.0	1421.0	1	407.0	762.0	1	166	1091	5.0817	1	5.0245	1
370.211		-79.0	1426.0	1	405.0	762.0	1	163	1094	5.0824	1	5.0264	1
370.368		-80.0	1428.0	1	411.0	760.0	1	166	1094	5.0799	1	5.0238	1
370.463		-75.0	1422.0	1	405.0	762.0	1	165	1092	5.0793	1	5.0263	1
370.542		-78.0	1425.0	1	410.0	759.0	1	166	1092	5.0794	1	5.0234	1
370.623		-75.0	1423.0	1	401.0	763.0	1	163	1093	5.0804	1	5.0375	1
375.228		-78.0	1424.0	1	409.0	762.0	1	166	1093	5.0814	1	5.0266	1
376.868		-73.0	1425.0	1	410.0	760.0	1	168	1092	5.0812	1	5.0295	1
385.812		-76.0	1428.0	1	406.0	763.0	1	165	1095	5.0787	1	5.0255	1
385.959		-74.0	1425.0	1	412.0	761.0	1	169	1093	5.0782	1	5.0255	1
387.598		-75.0	1424.0	1	410.0	762.0	1	168	1093	5.0792	1	5.0266	1
389.906		-76.0	1426.0	1	410.0	761.0	1	167	1093	5.0828	1	5.0305	1
393.89		-78.0	1425.0	1	414.0	761.0	1	168	1093	5.0841	1	5.028	1
396.57		-73.0	1424.0	1	413.0	762.0	1	170	1093	5.0826	1	5.0286	1
399.822		-75.0	1422.0	1	412.0	760.0	1	168	1091	5.0823	1	5.0295	1
403.196		-75.0	1424.0	1	409.0	759.0	1	167	1091	5.0828	1	5.0281	1
407.798		-76.0	1423.0	1	412.0	759.0	1	168	1091	5.0798	1	5.0306	1
409.755		-80.0	1429.0	1	413.0	761.0	1	166	1095	5.0829	1	5.0284	1
413.086		-77.0	1429.0	1	412.0	759.0	1	168	1094	5.0836	1	5.0283	1
416.416		-76.0	1426.0	1	412.0	758.0	1	168	1092	5.0846	1	5.0298	1
424.058		-78.0	1423.0	1	411.0	760.0	1	166	1091	5.0858	1	5.0309	1
