pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
275.906		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
277.856		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
282.107		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
284.176		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
288.477		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
292.834		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
294.837		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
299.062		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
301.186		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
305.369		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
310.216		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
312.177		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
316.448		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
318.601		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
323.089		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
324.99		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
329.09		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
333.307		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
335.343		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
340.093		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
341.765		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
345.834		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
350.009		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
352.132		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
356.545		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
358.453		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
362.637		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
366.768		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
368.894		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
